gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,ball_visibility,ball_x,ball_y,ball_z,period,teamname,teamattackingdirection,possessioneventtype
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,ESTIMATED,-21.76,-27.86,0.59,1,England,R,PA
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,VISIBLE,-27.4,-7.44,0.00,1,England,R,PA
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,VISIBLE,-13.69,23.58,0.00,1,England,R,PA
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,VISIBLE,-23.76,9.20,0.00,1,England,R,PA
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,VISIBLE,-15.6,-15.79,0.00,1,England,R,PA
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,VISIBLE,-8.92,-16.49,0.22,1,England,R,PA
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,VISIBLE,-16.27,-10.56,0.24,1,England,R,PA
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,VISIBLE,-7.58,11.26,0.00,1,England,R,PA
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,VISIBLE,-0.69,29.51,0.00,1,England,R,PA
3813,6495908,6372150,213.447,215.716,2.269,215.716,2,VISIBLE,-16.46,12.22,0.00,1,England,R,PA
3813,6495914,6372157,217.317,223.290,5.973,223.290,2,VISIBLE,-4.1,-5.44,0.00,1,England,R,PA
3813,6495918,6372161,225.192,226.860,1.668,226.860,2,VISIBLE,4.66,17.42,0.24,1,England,R,PA
3813,6495920,6372162,228.061,228.829,0.768,228.829,2,VISIBLE,13.65,30.27,0.00,1,England,R,PA
3813,6495964,6372204,230.063,231.098,1.035,231.098,2,VISIBLE,0.42,24.78,0.32,1,England,R,PA
3813,6495924,6372166,232.499,236.170,3.671,236.170,2,VISIBLE,6.87,-13.74,0.00,1,England,R,PA
3813,6495933,6372176,240.574,240.574,0.000,240.574,4,VISIBLE,12.62,-29.32,0.00,1,England,R,PA
3813,6495936,6372179,241.742,242.910,1.168,242.910,4,VISIBLE,-2.15,-17.79,0.00,1,England,R,PA
