gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,playerid,positiongrouptype,jerseynum,team,x,y,visibility,confidence,possessioneventtype,teamattackingdirection,period,teamname
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,169,GK,1,H,-42.209,-2.539,ESTIMATED,LOW,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,123,LB,3,H,-20.766,3.802,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,265,CM,4,H,-21.077,-19.763,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,10,RCB,5,H,-26.412,-19.193,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,118,LCB,6,H,-25.533,-9.018,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,1,CF,9,H,0,-8.485,VISIBLE,MEDIUM,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,25,LW,10,H,-4.307,-1.697,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,1377,RB,12,H,-22.512,-28.538,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,163,RW,17,H,-5.862,-25.108,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,105,AM,19,H,4.08,-4.170,ESTIMATED,LOW,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,4677,CM,22,H,-14.307,-21.729,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,13968,GK,1,A,33.661,-5.431,ESTIMATED,LOW,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,13976,RWB,2,A,8.105,16.118,ESTIMATED,LOW,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,13971,LW,3,A,-9.861,-27.647,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,13975,LWB,5,A,-0.688,-24.776,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,457,RW,7,A,-22.053,-24.629,VISIBLE,MEDIUM,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,13977,RCB,8,A,-15.338,-24.795,VISIBLE,MEDIUM,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,8561,CF,9,A,-8.402,-10.815,ESTIMATED,LOW,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,13970,MCB,15,A,6.768,-9.997,ESTIMATED,LOW,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,12235,CM,18,A,-4.5,-18.759,VISIBLE,HIGH,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,12222,LCB,19,A,12.432,-17.940,ESTIMATED,LOW,PA,R,1,England
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,13982,CM,21,A,-2.623,-5.863,VISIBLE,HIGH,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,169,GK,1,H,-44.084,-0.601,VISIBLE,HIGH,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,123,LB,3,H,-25.173,15.502,VISIBLE,HIGH,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,265,CM,4,H,-22.779,-12.904,VISIBLE,HIGH,PA,R,1,England
